,count,hate_speech,offensive_language,neither,class,tweet
36,3,0,3,0,1,quot aint noth cut bitch quot
37,3,0,3,0,1,quot jus met son ya mane as bitch quot shot
38,3,0,2,1,1,quot lame cri hoe that tear clown quot
39,3,0,3,0,1,quot like snop said dont love hoe quot
40,3,0,1,2,2,quot moma said pusi cat insid doghous quot
41,3,0,3,0,1,quot hate hoe favorit quot mw sevenon
42,3,0,3,0,1,quot nice girl bad make get naughti bad yelo hoe real nice bodi south chick like em real thick quot
43,3,0,3,0,1,quot pimp pimp hoe quot futur voic
44,3,0,3,0,1,quot post pictur pusi get like quot
45,3,0,3,0,1,quot pusi power drug quot grine face sweat hapyhumpday
46,3,0,3,0,1,quot quick piec pusi cal drive quot
47,3,0,3,0,1,quot rune round like brand new pusi that bout get fuck quot
48,3,0,3,0,1,quot bitch even worst send guy quot
49,3,1,2,0,1,quot hoe like niga spend money talk bout quot
50,3,1,2,0,1,quot dont trust niga bitch quot
51,3,0,3,0,1,quot yal niga b cufe hoe caus yal aint never bitch quot
52,3,0,3,0,1,quot dodg bulet quot grine face sweat quot da bitch cut pregnant bound thank god fold hand quot
53,3,0,3,0,1,quot young pil chamberlain bitch love music quot
54,3,0,2,1,1,quot face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy teana trump probabl cleaner twiter hoe quot
55,3,0,3,0,1,quot face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy face tear joy gay niga could wait act like bitch tonight quot
56,3,0,3,0,1,quot face tear joy face tear joy face tear joy ima steal cat n replac pitbul face tear joy face tear joy face tear joy face tear joy rt bitch quot
57,3,0,3,0,1,quot amp gone alway hoe quot
58,3,0,3,0,1,quot son bitch tok tic tac quot like movi
59,3,0,3,0,1,quot wana get money fuck model bitch quot rusel simon
60,3,0,2,1,1,quot probabl mind schol much deal bitch as teacher quot retwet
61,3,0,3,0,1,quot fuck fag said quot
62,3,0,3,0,1,quot femal think date pusi cute stuf make pusi
63,3,0,0,3,2,quot simplyadictedtoguy wof wof hot scali lad
64,3,0,3,0,1,quot ya ever ask bitch bitch kany voic quot yes
65,3,0,3,0,1,quot u gone bring ur side bitch game know ya gf friend weari face weari face weari face weari face quot swear
66,3,0,1,2,2,quot wof wof hot sole
67,3,0,1,2,2,quot lemi eat oreo amp dish quot one oreo lol
68,3,0,3,0,1,quot bitch fuck u mayb get beter just
69,3,1,2,0,1,quot fuck red malon man bitch as nigah quot could pleas use complet sentenc
70,3,0,0,3,2,quot egplant emoji doe quot say loke like scream lmao
71,3,0,3,0,1,quot henesey venom gt se evil monkey one sexi bitch
72,3,0,3,0,1,quot seh pusi weter shower curtain ahmesehwetn quot lt lmao
73,3,0,3,0,1,quot eaglesn everi eagl ned se pic post bitch said racist shit quot
74,3,1,2,0,1,quot yo fuck skateboard x wod push fagot man bal life
75,3,0,1,2,2,quot babi monkey bathtim awe so ador
76,3,0,3,0,1,quot face tear joy face tear joy face tear joy face tear joy ai shit quot damn skipi lol
77,3,1,2,0,1,quot u ever kil ant sidewalk think damn niga way get pusi quot bs must b gt chanc
78,3,0,3,0,1,quot ring mvps bitch lol
79,3,1,2,0,1,quot pl talk bad gheto hod kid grow niga fun quot
80,9,0,7,2,1,quot fact tato tato pusi tato nipl
81,3,0,3,0,1,quot hundr point hundr point hundr point rt bitch want act like niga bad weari face weari face weari face shit aint cute quot niga act like bitch
82,3,0,3,0,1,quot get worship bitch wof wof
83,3,1,2,0,1,quot wow rt lost butchek pierc yeah hoe
84,3,0,3,0,1,quot ok sis quot would rather broke bitch shrug tel work her
85,3,2,1,0,0,quot quer quot gaywad
87,3,0,3,0,1,quot fagot read twet dat k quot even funi lol
88,3,0,3,0,1,quot bitch ungrat fr lulwhor
89,3,0,3,0,1,quot kidnap yo bitch quot
90,3,3,0,0,0,quot alsarab quot hes beaner smh tel hes mexican
91,3,1,2,0,1,quot hapi birthday nig quot thank yo
92,6,1,5,0,1,quot ur teacher tel u u homework bitch ned go
93,3,1,2,0,1,quot quot niga eat hoe lol quot hel yea lol john paul quot niga said john paul
94,3,0,3,0,1,quot would x lil ugli bald head bitch stop make make amp weav quot
95,3,1,2,0,1,quot leaf beter win damn game go riot shit earlychristma quot beter start lote nig
96,3,0,3,0,1,quot go back schol suck dick hoe atend quot
97,3,0,3,0,1,quot way fuck yo bitch year old
98,3,0,3,0,1,quot come never bring fod quot dont car retard
99,3,0,3,0,1,quot richnow show hela tinder hoe im friend anymor quot chil brought like like propl
100,3,1,2,0,1,quot bout cowboy quot shutup pusi
101,3,0,3,0,1,quot lmao niga lt bitch want like depres shit foh
102,3,0,3,0,1,quot girl know spite g shit amp go lbvs quot bitch plz
103,3,0,3,0,1,quot let make coupl twet cuzo page get twiter jail quot lmao bitch trick again
104,3,0,2,1,1,quot harlem shake excus go ful retard second quot
105,3,0,3,0,1,quot amen miley fold hand ned act like hoe bc quot emotionali damag quot foh
106,3,0,3,0,1,quot one loyal femal way beter hoe idc hundr point quot
107,3,0,3,0,1,quot pusi lick pusi meow meow stopwhitepeopl cat face confus face
108,3,0,3,0,1,quot check th man cowboysn quot even fagot ny fan stand
109,3,0,3,0,1,quot hapen vixen ent bitch quot got ran threw side like fothil bitch
110,3,0,3,0,1,quot im bitch okay nude pat slepi face smirk face frog face quot wow
111,3,3,0,0,0,quot fuck gay blacklist hoe quot hold tehgodclan anyway
112,3,0,3,0,1,quot fuck wrong bitch quot nobodi know
113,3,0,3,0,1,quot yal shut p quot make bitch
114,3,1,2,0,1,quot hate quot pregnant quot type bitch quot
115,3,0,3,0,1,quot got bitch dm ever read x em quot top
116,3,0,0,3,2,quot baseb season win yank quot love start
117,3,0,3,0,1,quot litl stupid bitch fuck you quot
118,3,0,3,0,1,quot reali ask dead as serious tho could say quot bitch whet quot lol
119,3,0,0,3,2,quot earli bird night owl wise worm quot
120,3,0,1,2,2,quot overdos heavi drug sound bad tonight quot pusi shit everi day
121,3,0,0,3,2,quot pit bul photograph love fairi tale creatur fairi tale creatur
122,3,0,3,0,1,quot aw quot fag twet quot aw quot lol
123,3,0,0,3,2,quot long laker trash could carel real quot c hahaha
124,3,0,3,0,1,quot say anyth tho quot kis fagot
125,3,0,0,3,2,quot quot play socer cheat girl wear khaki colour cargo quot haircut face tear joy yup
126,3,0,3,0,1,quot could go fat as bitch lap quot same
127,3,0,3,0,1,quot mise cal angri face pout face quot das yo p bitch twiter fina screamn fremoneymel
128,6,0,6,0,1,quot ya side bitch gota know rule shit anybodi ask cousin jersey thinkin bout move quot lmfao face tear joy face tear joy face tear joy face tear joy
129,3,0,3,0,1,quot amo los pie fuck yeah
130,3,0,3,0,1,quot hoe think meat slap as slepe face wave hand quot aina bruh
131,3,0,3,0,1,quot yal bitch wit edg talk weari face slepe face rais hand quot face tear joy face tear joy face tear joy
132,3,0,3,0,1,quot yal stil go trick treat year nah quot hel yeah ima da swet toth bandit steal bitch bag n shit
133,3,0,3,0,1,quot wana sex mom fuck right pusi came quot damn got hack like fuck
134,6,0,6,0,1,quot kis u eye open watch bitch quot lmfao
135,3,0,3,0,1,quot woulda coulda shoulda as hoe flush face speak evil monkey quot
136,3,0,3,0,1,quot hapi bday bitch as niga quot preciat bitch rol up
137,3,0,3,0,1,quot use send bitch quot
138,6,0,6,0,1,quot ugli bitch like wcw duh bitch ai nobodi els face tear joy face tear joy quot
139,3,1,2,0,1,quot niga know hacki sack hoe quot nah throw lok pase lmao
141,3,1,2,0,1,quot glad gete outa atlanta noth bunch niga amp outa jail amp dumb bitch mad kid fuckin em quot
142,3,0,1,2,2,quot gheto smart idc
143,3,0,2,1,1,quot would wife hoe cuz would care cheat quot forc relationship first place
144,3,0,3,0,1,quot singl excus hoe quot
145,3,1,2,0,1,quot white boy power bitch quot black power bitch
146,3,0,3,0,1,quot let get drunk get blow spit shit spark blunt amp fuck hoe quot bro white dude chil
147,3,0,3,0,1,quot bitch u quot around world back ben
148,3,0,3,0,1,quot get dick suck yo parti bad bitch fr gone set face tear joy face tear joy face tear joy face tear joy quot by
149,3,0,2,1,1,quot omf so cute probabl hoe lot quot
150,3,0,3,0,1,quot everi carton alway save hoe lmao lmao damn captain saveaho
151,3,0,1,2,2,quot want get nose bad boi scali chav sockfetish stink hot sox leg
152,3,0,3,0,1,quot wish bitch like brother kezi unamus face quot ow bet do
153,6,0,6,0,1,quot drese cat halowen basic quot pusi
154,4,0,4,0,1,quot pornhub get game stream featur dumb bitch gtfo quot get kati lt
155,3,0,3,0,1,quot stop scare choke sex u bitch as niga like quot say guy hit women bed foh
156,3,0,3,0,1,quot ha wel igu make hoe loyal bro quot theyl never loyal hoe nig
157,6,0,6,0,1,quot oh man quot moli ho fuck ya sed quot quot fix
158,3,0,3,0,1,quot man refer everi girl bitch quot
159,3,0,3,0,1,quot lmfao cat start beat shit quot niga finali got pusi niga
160,3,0,1,2,2,quot pel pel bring back rewind back move shaq line quot ow tf said trash
161,3,0,2,1,1,quot io io alu record ho vine sai pe hahahaha quot lol anyway haha
162,3,0,3,0,1,quot naw old tape new cover upcom mixtap kingofthehil quot yeah wait hoe mayn
163,3,0,3,0,1,quot ol dirti fot as bitch quot funi me
164,3,0,3,0,1,quot get yelow flag amaz clape hand reliev face quot hel yeah nigi
165,3,0,3,0,1,quot got time bitch actin ifi quot
166,3,0,0,3,2,quot ucfpinkparti come stay aliv knight nation quot stil earli bird special comeatmeut
167,3,0,2,1,1,quot hoe ai loyal ai smfh amp wonder nobodi decent want them
168,3,0,3,0,1,quot bruh stud kep think soft hel ask ya girl mani time scream bitch oh okay stfu quot bye hoe
169,3,0,3,0,1,quot dri pusi bitch alway blame condom face tear joy quot clape hand face tear joy clape hand face tear joy
170,3,0,3,0,1,quot shut yo bitch as loud cri face face tear joy
171,3,0,3,0,1,quot guci mane jail drope mixtap everi month hoe even text back quot
172,3,0,3,0,1,quot love hoe money wat wrong niga quot
173,6,0,6,0,1,quot loyal bitch burb without dadi isu like find holograph mewtwo quot sound like lol
174,3,0,3,0,1,quot easi cum easi hoe quot fact
175,3,0,3,0,1,quot charli shen real major fuck respect charli shen
176,3,0,3,0,1,quot wish bae confus face quot got hoe tho
177,3,0,3,0,1,quot fuck twerk bitch cok quot
178,3,0,3,0,1,quot bitch wtf quot
179,3,1,2,0,1,quot quot shut zoe quot fight pusi zoe god man quot god x move along now
180,3,0,3,0,1,quot lmao fuck snake bitch quot em
181,3,0,3,0,1,quot big boti hoe everywher shesh smile face heart eye quot damn herb eye herb
182,3,0,0,3,2,quot stay tune updat report b wek quot bum
183,3,0,0,3,2,quot quot play socer cheat girl wear khaki colour cargo quot haircut yes lmfao quot
184,3,0,3,0,1,quot oregon choke everi year get field trash as program quot rft
185,3,0,3,0,1,quot def cowboy lol rt terel owen best eagl amp cowboy ever quot dude cri like bitch tv romo
186,3,3,0,0,0,quot lmfao hate black peopl black peopl niger
187,3,0,3,0,1,quot could u bitch quot potent
188,3,0,1,2,2,quot pise lad past would lick dirti sole slept
189,3,0,1,2,2,quot love frat boy w soft long sole
190,3,0,1,2,2,quot sexi lad hot sole arch
191,3,0,3,0,1,quot nah fam gota cheat hoe quot depend femal fel
192,3,0,0,3,2,quot clape hand clape hand clape hand clape hand rais hand quot got hick lol
193,3,1,2,0,1,quot new twiter confus shit quot go back south america bitch
194,3,0,3,0,1,quot toto mean as vagina quot think pusi caus toto santi like nasti pusi
195,3,0,3,0,1,quot actuali chose ugli bitch quot as must fat
196,3,0,3,0,1,quot bitch could kil vibe ya tri rainbow rainbow rainbow quot dis love miley
197,3,0,3,0,1,quot tire bitch say lok mean unamus face quot niga big af wear tight shirt grim everybodi
198,6,0,0,6,2,quot bird grandkid may never se thank climat chang climat
199,3,0,3,0,1,quot quot stay beauti bitch quot quot
200,3,0,3,0,1,quot wutkinda r purpl cele quot man gurl jus playin quot stupid hoe quot track stil shite sum gurl
201,3,0,3,0,1,quot money gete taler bitch gete bluri quot
202,3,1,2,0,1,quot ai never sen bitch obses niga face tear joy quot obses mine expresionl face
203,3,0,2,1,1,quot kobe stay talk trash let forget meant one smh
204,3,2,1,0,0,quot quot least niger quot lmfao
205,3,0,3,0,1,quot peopl alway ask mix quot bad asian bitch lol
206,3,2,1,0,0,quot ariza snake coward quot least cripl like hero roach lmao
207,3,0,1,2,2,quot foster home imaginari trash whoa chil quot show everyth tf
208,6,0,5,1,1,quot lowkey tire quot tire quiet go slep hoe
209,3,0,3,0,1,quot stop bring weird niger mention
210,3,0,3,0,1,quot love hoe open hand person gestur quot
211,3,0,3,0,1,quot yo girl cant homeboy ol weak bitch as niga quot
212,3,0,3,0,1,quot think worst advic gave quot pusi sped quot lol quot
213,3,0,3,0,1,quot quot twet favorit anim quot pusi
214,3,0,3,0,1,quot hate striper tel quot dancer quot hoe balet dancer pop pusi bethoven striper quot
215,3,0,3,0,1,quot andrewbry pof doubl vision ber pof doubl pusi smile face sunglas quot smh
216,3,0,3,0,1,quot bitch twerk comput quot ya bikini ya damn bikini doubl exclam mark quot quot
217,3,0,3,0,1,quot princ art nobodi takin bitch
218,3,0,1,2,2,quot welfar govern aid claim white peopl x black slander trash quot
219,3,0,3,0,1,quot bitch care play role quot
220,6,0,6,0,1,quot tok find hide lime tre quot dis bitch da wrong tre bro
221,6,3,2,1,0,quot drake new shoe releas nike jordan yes gliter shoe dude fag
222,3,0,1,2,2,quot ina di gheto quot alon lmao
223,3,0,1,2,2,quot hoe austin teach us austin quot teach u get curv know
224,3,1,2,0,1,quot bitch cok know suck dick quot one both
225,3,0,3,0,1,quot fat hoe get chose quot lol
226,3,0,3,0,1,quot hoesaintloy quot wel hoe one expect loyal
227,3,0,3,0,1,quot ol bitch as quot
228,3,1,2,0,1,quot bruh im tire niga retwetin miley cyrus nake bitch aint type bad quot lmao
229,3,0,3,0,1,quot toni romo mav game dont mean stil bitch lmao fuk cowgirl quot lol bitch fuck you
230,3,0,3,0,1,quot holi shit fredi highmor charli chocol factori quot rol flor laugh
231,3,1,2,0,1,quot quot want sex gf fel like use quot anonym quot whata fagot
232,3,0,3,0,1,quot one folow smile face heart eye weari face somebodi bitch not
233,3,0,3,0,1,quot ya bitch alway bitch clear care quot anoy bitch
234,3,0,3,0,1,quot catfish hoe thinkin slick niga catch reliev face quot
235,3,0,3,0,1,quot wori bitch ai wori bout quot real
236,3,0,3,0,1,quot side hoe insecur niga handl real one quot
237,3,0,3,0,1,quot face tear joy face tear joy face tear joy face tear joy rt lmao bitch come scote tent like fuck shit quot loud cri face loud cri face loud cri face
238,3,0,3,0,1,quot cousin said share hoe brother said share care love brother face tear joy quot
239,3,0,3,0,1,quot hungri ion wana spend money fod unamus face quot broke hoe problem face tear joy face tear joy face tear joy skul
240,6,0,6,0,1,quot dese hoe lyin us niga quot
241,3,0,3,0,1,quot oh yeah fuck bitch
242,3,0,1,2,2,quot eli mane threw nfl lead th intercept season quot lmao trash
243,3,0,1,2,2,quot usc senior rb anthoni brown cal head coach steve sarkisian racist quit team bitch
244,3,0,3,0,1,quot gue also zero time mansplain adio quot stfu pusi
245,3,0,1,2,2,quot chile tongu trade mark sexi scali lad
246,3,0,3,0,1,quot ai share bitch mine mine hundr point quot
247,3,0,3,0,1,quot money impr simpl broke bitch quot
248,3,0,2,1,1,quot pisc never anybodi bitch let peopl control chang quot right
250,3,0,1,2,2,quot tuku ho idk blah blah blah quot face tear joy face tear joy face tear joy
251,3,0,1,2,2,quot mad cuh hahaha quot sure tuku ho ita face tear joy face tear joy
252,3,0,3,0,1,quot hoe crazi quot
253,3,0,3,0,1,quot ai ever gona slice bitch quot kevin hart
254,3,0,3,0,1,quot omf fuckin fine tho weari face dam quot bitch
255,3,1,2,0,1,quot wonder girl gave head boy drink magaluf twiter quot probli send nude fag
256,3,0,3,0,1,quot newsatquest yeah bitch yeah bitch cal mayb b steve c later jese pinkman quot
257,3,0,3,0,1,quot hicki thigh right pusi gt gt gt quot right
258,3,0,3,0,1,quot would stil love longer young beauti quot ugli monkey as
259,3,1,2,0,1,quot x come front quot bitch ai come
260,3,1,2,0,1,quot fagot bitch quot
261,3,0,3,0,1,quot yea ipad work friday let bal fagot quot work
262,3,0,1,2,2,quot scali lad would get it
263,3,2,1,0,0,quot geryshalowenparti halowen yesterday stupid niger
264,3,0,2,1,1,quot chrus stil supahot tho quot walk teacher test drop test bitch fohead
265,3,0,3,0,1,quot love eat pusi lol never get ful lol eat shit forev lol quot ever
266,3,0,3,0,1,quot quot slush sad reliev face hoe nasti anyway fam quot slepe face hoe tast like med quot grape grape babi botl
267,3,0,2,1,1,quot slush sad reliev face hoe nasti anyway fam quot slepe face
268,3,1,2,0,1,quot bobi bitch gete live fuck quot hel yea play hoe workout
269,3,0,3,0,1,quot yo bitch guci mane rt bitch stoner hundr point hundr point
270,3,0,3,0,1,quot ride bitch handl bar quot
271,3,0,3,0,1,quot ai hoe get traphous quot
272,3,0,0,3,2,quot sad tv charact death stil biter stark man
273,3,0,3,0,1,quot harbor bitch quot parti bus hoe quot quot lol al
274,3,0,3,0,1,quot pusi quot love it
275,3,0,3,0,1,quot ultraviol video come litl bitch mtvhotest lana del rey bitchi promo
276,3,0,3,0,1,quot way fuck bitch lmfao kitycopt
277,3,0,0,3,2,quot smugler explain help fighter along quot jihadi highway quot
278,3,0,3,0,1,quot quot aw avi lok cute togeth coupl heart skul skul skul quot gota get ike avi bitch
279,3,0,3,0,1,quot quot simpl dont hoe dont wori expos wink face tongu quot fight quot whi
280,3,0,3,0,1,quot whys bitch bost size exact healthi tho
281,3,0,3,0,1,quot bet bitch face tear joy open hand pistol pistol kitchen knife quot face tear joy face tear joy kim bye
283,3,0,3,0,1,quot damn near gota protect twet stalker anoy quot got dope dick drive bitch loco
284,3,0,3,0,1,quot make marack girlfriend quot aye b pulin hoe like taught you
285,3,1,2,0,1,quot bruno fag boy quot love me
286,3,0,3,0,1,quot must bitch face tear joy face tear joy face tear joy sike naw quot alway befe face tear joy
287,3,0,0,3,2,quot yank lok rali botom th quot ralycap
288,3,0,3,0,1,quot take advantag nice person hoe quot everyjuan
289,3,1,2,0,1,quot hapi birthday bitch niga quot thank pal
290,3,0,3,0,1,quot sad know hoe fuck bc ai got stack quot wait til friday
291,3,0,3,0,1,quot cinco shit harder fuc niga quot ye fuc wit rich homi cuz dat ya homeboy fuc nica
292,3,0,3,0,1,quot ew said last sunday last sunday read nig quot flush face flush face flush face flush face flush face
293,4,1,3,0,1,quot punch real niga face caus pusi niga gona punch right back quot strong mush shake
294,3,0,3,0,1,quot pusi stil fresh quot lt someth stank girl say
295,4,0,4,0,1,quot as slape one greatest thing haha smirk face quot slape girl as got mad aint get pusi wek
296,3,0,3,0,1,quot yeah texan much beter fuck retard quot se mad this
297,3,1,2,0,1,quot nd wtf dark bitch blond pleas sever seat hoe quot loke like black amp mild here
298,4,0,4,0,1,quot lane bitch ned stay smile face sunglas quot left n get right fuck outa face loud cri face person tipe hand face blow kis
299,3,0,3,0,1,quot hate boy deni bitch open hand weari face quot smh
300,3,1,2,0,1,quot ya nig stil say x eat but quot straight face
301,3,0,3,0,1,quot im bos as bitch quot ned sit corner
302,3,0,3,0,1,quot hoe quot
304,3,0,3,0,1,quot paul thinkin bout getin rental da wekend sport util vehicl dash away dash away quot oh shit bitch beta stay da stret
305,6,0,6,0,1,quot bitch hold niga get lock niga go coleg militari difer stori slepe face quot
306,3,1,2,0,1,quot friend hate quot ratchet hoe
307,3,1,2,0,1,quot love fuck niga quot hoe
308,3,0,3,0,1,quot hot meat sexi fuck scali lad would love met trainer
309,3,0,3,0,1,quot snif perv scali lad fuck yeah
310,3,0,3,0,1,quot bitch love sosa quot
311,4,0,3,1,1,quot legit watch second expresionl face wtf quot prob caus retard smh
312,3,0,3,0,1,quot name cat idea quot mr pusi
313,3,0,2,1,1,quot wof wof sexi thug boy scali
314,3,0,3,0,1,quot u se damn phone ring persev face unamus face disapoint face quot mari bitch make demand cale me
315,3,0,3,0,1,quot tevin favorit sophomor think funi quot hes reali lmao hes litl hoe
316,3,0,3,0,1,quot sex posit u cal fuck soul outa bitch loud cri face
317,3,2,1,0,0,quot bore supos cute fagot quot sometim
318,3,0,0,3,2,quot one man trash liter bin sign anoth man treasur trophi quot
319,3,0,3,0,1,quot got type bad bitch thing like quot iongotnotyp
320,3,2,1,0,0,quot lasen c coach want quot fel youl get nig doubt
321,3,0,3,0,1,quot god teth gold chain white bitch cocain quot
322,3,1,2,0,1,quot hoe hoe person tipe hand quot sh
323,3,0,3,0,1,quot c cal roler chiraq cal thot quot acro america known hoe
324,3,0,3,0,1,quot gona mis bitch bus driver quot lie
325,3,0,3,0,1,quot hate bitch tri put friendzon bitch tryin score put endzon fire fire fire quot soul
326,3,0,1,2,2,quot ashley young tri deni bird land mouth gt hahaha
327,3,0,3,0,1,quot yal gimp quot ai tht bitch huh lol
328,3,0,1,2,2,quot quot take ride smile face heart eye kis mark wof wof
329,3,1,2,0,1,quot oh god love victoria mitchel quot bitch love me
330,3,0,3,0,1,quot long distanc shit wack knew bitch cheat quot uh oh
331,3,0,3,0,1,quot right smile face heart eye princ revolv heart bitch smh
332,3,0,3,0,1,quot ban dat pusi life amp gota pay milon dolar fine quot
333,3,1,2,0,1,quot rose red violet blue niger black know true quot
334,3,0,0,3,2,quot site window sil window open bird tri fli smack protectheanim quot
335,3,0,3,0,1,quot niga gon niga niga quot sound fuckin retard
336,3,0,0,3,2,quot video entir media like mock crybabi
337,3,0,3,0,1,quot even shi stfu quot kiki mom hi angeliqu angeliqu smile dip cracker soup
338,3,0,3,0,1,quot tim tebow got cut everi team nfl alreadi got hoe starkvil smh quot face tear joy face tear joy face tear joy face tear joy
339,3,0,3,0,1,quot karma bitch damn godprotectshisangel rais hand quot sip tea
340,3,0,3,0,1,quot fuckin hot gym pusi fuck yeah
341,3,0,0,3,2,quot jihadi patron hajaj al ajmi arest kuwait airport
342,3,0,2,1,1,quot cal fireman caus turn hoe quot
343,3,0,3,0,1,quot could never by lil dick thts got abort last bitch quot oh god
344,3,0,3,0,1,quot watch women tri argu like dick actuali fuck pusi quot hate bitch that
345,3,0,3,0,1,quot smoke wed public fuck cop man wana run come quot retard
346,3,0,0,3,2,quot tweti bird tho face tear joy face tear joy face tear joy face tear joy
347,3,0,3,0,1,quot pusi swet like watermelon thotermelon
348,3,0,1,2,2,quot twiter raper dm trash link
349,3,0,3,0,1,quot loud bitch anoy quot
350,4,0,4,0,1,quot eventuali everi bitch turn hoe quot tru
351,3,0,3,0,1,quot quot quot swear omf tri talk tomorow quot quot quot pusi
352,3,0,3,0,1,quot bitch pretend tf crazi quot ai never lie
353,4,0,3,1,1,quot k bye hoe quot um bye
354,3,2,1,0,0,quot jacki retard blondeproblem quot least make grile chese
355,3,1,2,0,1,quot ima kep give pusi as niga ah reason hate quot
356,3,0,0,3,2,quot photo sole heaven
357,3,2,1,0,0,quot stacey dash sweat droplet badest bitch eva
358,3,0,3,0,1,quot side bitch sunday face tear joy face tear joy face tear joy quot face tear joy face tear joy face tear joy
359,3,0,3,0,1,quot fact baldhead bitch made shit oncom fist oncom fist tire face unamus face lmao weari face face tear joy
360,3,0,3,0,1,quot fuck wit us tweakin hoe quot shmurda
361,3,0,0,3,2,quot actin like th day ghost spok
362,3,0,3,0,1,quot break lil bitch neck even fel sori quot savag
363,3,0,3,0,1,quot fuck hot scali sneakersex sockfetish snif trainersex love kinki scali
364,3,1,2,0,1,quot x dumb as niga prese hoe x weak fuck fuck quot wed hoe oreo to
365,3,0,3,0,1,quot turn yo bitch eater quot
366,3,0,3,0,1,quot trust dese hoe niki told st stay fan scren shot asap quot fina come chiraq shot sumn
367,3,0,3,0,1,quot aye yal ima tryout bowl team frfr tryout pase tho quot there two retard
368,3,0,3,0,1,quot u got u want bitch enjoy crazi parti would love atend
369,3,0,0,3,2,quot color contact eye blinder mine caus se quot lmao
370,3,0,3,0,1,quot fact quot dude hoe say got hoe quot
371,3,0,3,0,1,quot rea start smack bitch period quot blufin best
372,3,0,3,0,1,quot life bitch die that get high caus neva know gona go quot sister perfect
373,3,0,3,0,1,quot one us drug stil wrong face tear joy quot hahahahahahah im bitch sometim
374,3,1,2,0,1,quot fele preti fuckin gheto quot smh
375,3,0,0,3,2,quot quot quot quot swear man quot easili quot easili quot behind austin quot nip
376,3,0,3,0,1,quot true ride die bitch hundr point fuck hahahahah
377,4,0,0,4,2,quot h g wel charli chaplin histori photographi
378,3,0,3,0,1,quot se bruno bitch as twiter wtf quot bruno ses drake voic
379,3,0,3,0,1,quot col fagot chil quot tf col niga
380,3,0,3,0,1,quot sure bitch quot frfr tf
381,3,0,3,0,1,quot twiter sourc news broadcast fuck retard quot nbc abc cn fox etc kepe quiet
382,3,0,3,0,1,quot got coupl bitch say know let money talk smile face sunglas ok hand quot like wyd
383,3,0,3,0,1,quot grudg weirdo quot bitch
384,3,1,0,2,2,quot told mariam cigaret birthday quot also cale trash rn
385,3,0,0,3,2,quot browni tonight quot kind
386,3,0,3,0,1,quot text back give fuck text anoth bitch quot damn someon hurt lol
387,6,1,5,0,1,quot um okay got hoe left right face tear joy face tear joy yah thang
388,3,0,3,0,1,quot use mx b find slope as quot
389,3,0,0,3,2,quot fit lad nice gear scali lad n trainer would get it
390,3,0,3,0,1,quot hel yeah bro fuck yeah sexi scali lad hot gear
391,3,0,3,0,1,quot help mate love scali play fuck yeah
392,3,0,2,1,1,quot lad lad fuck yeah love scali lad action hot trainer to
